idImpianto;Gestore;Bandiera;Tipo Impianto;Nome Impianto;Indirizzo;Comune;Provincia;Latitudine;Longitudine
31425;PETROLSERVICES S.A.S. DI RICCARDO DI BENEDETTO & C.;Giap;Altro;GIAP;via Vittorio Emanuele 156 92024;CANICATTI';AG;37.36153253815698;13.85412821798866
34101;GRM DI MARCHESE RAGONA GIUSEPPE S.A.S.;Pompe Bianche;Strada Statale;GRM SAS;Statale 122 Agrigentina, Km. 27+030, dir. AGRIGENTO 92024;CANICATTI';AG;37.36224200841267;13.788746371865273
29965;DI BENEDETTO CARBURANTI S.R.L.;Pompe Bianche;Altro;I.D.C. Canicatti' , Viale Giudice Saetta ;Viale Giudice Saetta   92024;CANICATTI';AG;37.352213526915726;13.832169380904588
13093;DI BENEDETTO RICCARDO;Esso;Altro;Riccardo Di Benedetto;VIA CALVI (ANGOLO VIA CAP. MAIRA), 92024;CANICATTI';AG;37.35378188797039;13.84777843952179
16277;SUD - PETROLI S.A.S. DI CAICO GIACINTO;Esso;Altro;SUD PETROLI;VIALE DELLA VITTORIA SN., 92024;CANICATTI';AG;37.35217013095468;13.840876041670981
40181;RAMETTA CAR SERVICE SOCIETA' IN NOME  COLLETTIVO DI RAMETTA GIUSEPPE  & C .;Q8;Altro;Q8 Casteltermini ;Via Trento   92025;CASTELTERMINI;AG;37.54200444942285;13.646445007444413
30771;SERVIZI E GESTIONI ZENIT S.R.L. IN SIGLA - ZENIT S.R.L.;Giap;Altro;S.P. 20 KM 19+780 CASTELTERMINI;S.P. 20 KM 19+780  92025;CASTELTERMINI;AG;37.54271305995729;13.652730882167816
39567;SA.RA. S.A.S. DEL DR. RACALBUTO ANTONINO & CO;Pompe Bianche;Strada Statale;SA.RA SAS di Racalbuto Antonino & co;Statale 122 Agrigentina, Km. 23+795, dir. CASTROFILIPPO 92020;CASTROFILIPPO;AG;37.349522258770904;13.759505599737167
18512;MICELI MICHELINA;Pompe Bianche;Altro;Pompa Bianca;VIA ORETO SN, 92011  92011;CATTOLICA ERACLEA;AG;37.44098464597239;13.390876672688591
22153;AGOZZINO PASQUALE;SP Energia Siciliana;Altro;SP ENERGIA SICILIANA;VIA ENNA  92011;CATTOLICA ERACLEA;AG;37.44087786981091;13.391040489077568
9498;DP FUEL DI D'ANNA FRANCESCO & C. SNC;Q8;Altro;DP FUEL DI D'ANNA FRANCESCO & C. SNC;STRADA STATALE 118 CORSO NAZIONALE 1 92012;CIANCIANA;AG;37.51986048686688;13.436181396245956
42515;DBS SERVIZI PETROLIFERI S.R.L.;Pompe Bianche;Altro;DBS Serv.Petr. srl COMITINI; SS 189 KM 47+690 SN  92020;COMITINI;AG;37.445185640773154;13.65965550805663
25077;A.NUARA E FIGLI SRL;Pompe Bianche;Strada Statale;CONTRADA BURRAITI SS 115 KM 197+435;Statale 115 Sud Occidentale Sicula, Km. KM 197+435, dir. FAVARA 92026;FAVARA;AG;37.247453962516225;13.667558133602142
21532;CASTRONOVO FILIPPO;Agip Eni;Altro;ENI;VIA CAP. CALLEA SNC 92026;FAVARA;AG;37.32455050835047;13.662984558860785
4112;DI NOLFO MARIA CARBURANTI S.A.S.;Agip Eni;Altro;Eni 55029 - Di Nolfo Maria Carburanti Sas;VIA NENNI S.S 122 KM.11+870 S.N. 92026;FAVARA;AG;37.321189939736215;13.665801286697388
